anime_id,title,genre,Score
307,Kerokko Demetan,"Comedy, Fantasy",6.01
308,Zettai Shounen,"Drama, Fantasy, Mystery, Sci-Fi",6.94
309,Akahori Gedou Hour Rabuge,Comedy,6.16
310,"Chiisana Obake: Acchi, Kocchi, Socchi","Comedy, Supernatural",5.98
311,Ace wo Nerae!,"Drama, Romance, Sports",7.02
312,Ace wo Nerae! Final Stage,"Drama, Sports",6.52
313,Ace wo Nerae! (1979),"Drama, Romance, Sports",6.83
314,Ace wo Nerae! 2,"Drama, Sports",6.87
315,Xiao Qian,"Action, Drama, Fantasy, Romance",6.5
316,Nageki no Kenkou Yuuryouji,"Comedy, Girls Love, Hentai",6.19
317,Final Fantasy VII: Advent Children,"Action, Fantasy",7.76
318,Hand Maid May,"Comedy, Romance, Sci-Fi, Ecchi",6.73
319,Happy World!,"Comedy, Fantasy, Romance, Ecchi",6.02
320,A Kite,"Action, Drama, Hentai",6.56
321,Najica Dengeki Sakusen,"Action, Comedy, Sci-Fi, Ecchi",6
322,Paradise Kiss,"Drama, Romance",7.83
323,Mousou Dairinin,"Avant Garde, Award Winning, Drama, Mystery, Supernatural, Suspense",7.68
324,Kidou Keisatsu Patlabor: On Television,"Comedy, Sci-Fi",7.69
325,Peach Girl,"Drama, Romance",7
326,Petshop of Horrors,"Horror, Mystery, Supernatural",7.27
327,Puchi Pri*Yucie,"Comedy, Fantasy",7.42
328,Piano,"Drama, Romance",6.02
329,Planetes,"Award Winning, Drama, Romance, Sci-Fi",8.31
330,Midori no Hibi,"Comedy, Romance, Supernatural, Ecchi",7.28
331,Mahoujin Guruguru,"Adventure, Comedy, Fantasy",7.61
332,Dokidoki♡Densetsu: Mahoujin Guruguru,"Adventure, Comedy, Fantasy",7.19
333,Mama wa Shougaku 4-nensei,"Award Winning, Comedy, Drama, Sci-Fi",7.21
334,Marmalade Boy,"Comedy, Drama, Romance",7.49
335,Matantei Loki Ragnarok,"Comedy, Mystery, Supernatural",7.29
336,Ginyuu Mokushiroku Meine Liebe,"Drama, Fantasy",6.46
